,group,var,modelType,R2_mean,R2_std,RMSE_mean,RMSE_std
0,group1,Vol(aq),xgbModel,-0.03929823618192343,0.03915031427127101,-0.03073178175730009,0.003300748120095379
1,group1,pH,CONST,0.0,0.0,0.0,0.0
2,group1,nCa(aq),xgbModel,-0.03929858585832753,0.03915087262247524,-0.0006228850917683174,6.689166606583104e-05
3,group1,nCa(s),linear,0.9999999999993872,1.9662423389282562e-13,-2.6559252970291585e-07,2.6130220659150204e-08
4,group1,nSi(aq),xgbModel,-0.039302700771848366,0.039155669253579245,-9.5011288692388e-07,1.0204819267662255e-07
5,group1,nSi(s_reac),linear,0.9999999999999515,1.1082673095553777e-14,-2.8526469711142172e-08,2.2225980938252286e-09
6,group1,nPortlandite,xgbModel,0.7807902963534504,0.028478672021716323,-0.1614905795927919,0.01906232382206801
7,group1,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
8,group1,mCSHQ,linear,0.999999999999666,1.2735087586909645e-13,-1.503056946787685e-08,3.000310786799262e-09
9,group1,nCa(CSHQ),linear,0.9999999999997383,1.4597015833524015e-13,-1.0553730559803162e-07,3.451958488852943e-08
10,group1,nSi(CSHQ),linear,0.9999999999999515,1.1082673095553777e-14,-2.8526469711142172e-08,2.2225980938252286e-09
11,group1,nH2O(CSHQ),linear,0.9999999999996112,1.613328983741405e-13,-2.2967276382560133e-07,4.685449213046807e-08
12,group1,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
13,group1,nGelPW(CSH),linear,0.9999999999999556,1.892648610544351e-14,-3.289701324329521e-08,4.1285402796502774e-09
14,group2,Vol(aq),xgbModel,-0.33368702430948555,0.5938443450135364,-0.027317696467652954,0.003353169331598733
15,group2,pH,xgbModel,0.33205923633845735,0.6165203807669676,-0.36114586036333357,0.11330036211990324
16,group2,nCa(aq),xgbModel,-0.05933991455937524,0.05169227910315934,-0.0004432630636100901,9.452447767389328e-05
17,group2,nCa(s),linear,0.999998487892098,1.1333137156342624e-06,-0.0002259841451879188,5.83753047488849e-05
18,group2,nSi(aq),xgbModel,-2.4199611184585286,5.059127963915668,-3.7155739791526344e-05,1.6727744777673423e-05
19,group2,nSi(s_reac),linear,0.9999999540021512,4.672588232730937e-08,-2.5978571408897274e-05,1.504274335057522e-05
20,group2,nPortlandite,CONST,0.0,0.0,0.0,0.0
21,group2,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
22,group2,mCSHQ,xgbModel,-0.06706075155291431,0.08018446189360764,-0.025076719051909037,0.0049681740540465005
23,group2,nCa(CSHQ),linear,0.999998487892098,1.1333137156342624e-06,-0.0002259841451879188,5.83753047488849e-05
24,group2,nSi(CSHQ),linear,0.9999999540021512,4.672588232730937e-08,-2.5978571408897274e-05,1.504274335057522e-05
25,group2,nH2O(CSHQ),xgbModel,0.8119694114837802,0.06653910028152601,-0.15306358552885935,0.05903688815993283
26,group2,C/S(CSHQ),xgbModel,-0.025552221940525466,0.4930978025700143,-0.2414586587871323,0.022060517650655257
27,group2,nGelPW(CSH),linear,0.9925248273875884,0.003496569523339491,-0.011671222188790093,0.001935126494336009
28,group3,Vol(aq),linear,0.9999999999996149,2.4083966508530355e-13,-1.5748314976068518e-08,7.0698913839849155e-09
29,group3,pH,CONST,0.0,0.0,0.0,0.0
30,group3,nCa(aq),linear,0.9999998241475302,1.0098889143606204e-07,-1.0945331419019413e-08,3.5474451117549097e-09
31,group3,nCa(s),linear,0.9999999999997558,1.9298547650302204e-13,-3.140449889195025e-08,8.982889481833277e-09
32,group3,nSi(aq),linear,0.9999998915168739,6.246567904138363e-08,-3.149895960370048e-08,9.954761955349734e-09
33,group3,nSi(s_reac),linear,0.9999999999996962,2.7123090463577553e-13,-4.344648750408485e-08,1.4400857952442462e-08
34,group3,nPortlandite,CONST,0.0,0.0,0.0,0.0
35,group3,nAmor-Sl,xgbModel,-0.27409340810462907,0.24689107153520287,-0.13358604844577407,0.03223482930270403
36,group3,mCSHQ,linear,0.9999999999998472,1.8013717718338767e-13,-3.8127741449763245e-09,1.3372019859074483e-09
37,group3,nCa(CSHQ),linear,0.9999999999997558,1.9298547650302204e-13,-3.140449889195025e-08,8.982889481833277e-09
38,group3,nSi(CSHQ),linear,0.9999999999998048,1.5681442568466608e-13,-4.255093898571199e-08,1.3711505105176726e-08
39,group3,nH2O(CSHQ),linear,0.9999999999998075,1.9903691215585832e-13,-7.044330945361474e-08,6.743941452135872e-08
40,group3,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
41,group3,nGelPW(CSH),linear,0.999999999999701,2.323289770366197e-13,-2.5363877893397855e-08,7.198149398198804e-09
